Generation: 1
1, 200, 99, {'epochs': 2, 'units1': 12, 'act1': 'relu', 'units2': 22, 'act2': 'relu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 84, {'epochs': 1, 'units1': 9, 'act1': 'selu', 'units2': 47, 'act2': 'softmax', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 14, -205, {'epochs': 6, 'units1': 3, 'act1': 'relu', 'units2': 6, 'act2': 'relu', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, 96, {'epochs': 3, 'units1': 7, 'act1': 'selu', 'units2': 16, 'act2': 'elu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 8, 'units1': 11, 'act1': 'selu', 'units2': 27, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 4, 'units1': 9, 'act1': 'linear', 'units2': 31, 'act2': 'relu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 18, -197, {'epochs': 1, 'units1': 7, 'act1': 'linear', 'units2': 5, 'act2': 'linear', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 72, {'epochs': 4, 'units1': 7, 'act1': 'selu', 'units2': 15, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 77, -172, {'epochs': 5, 'units1': 4, 'act1': 'relu', 'units2': 16, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 4, 'units1': 8, 'act1': 'selu', 'units2': 26, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, 96, {'epochs': 11, 'units1': 8, 'act1': 'tanh', 'units2': 26, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 12, 'units1': 2, 'act1': 'selu', 'units2': 5, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 5, 'units1': 7, 'act1': 'softmax', 'units2': 7, 'act2': 'linear', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, 96, {'epochs': 5, 'units1': 7, 'act1': 'tanh', 'units2': 9, 'act2': 'softmax', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 5, 'units1': 5, 'act1': 'tanh', 'units2': 45, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 99, {'epochs': 4, 'units1': 9, 'act1': 'tanh', 'units2': 4, 'act2': 'softmax', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, 99, {'epochs': 59, 'units1': 71, 'act1': 'sigmoid', 'units2': 110, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, 114, {'epochs': 1, 'units1': 12, 'act1': 'elu', 'units2': 32, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 105, {'epochs': 14, 'units1': 10, 'act1': 'tanh', 'units2': 38, 'act2': 'selu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 25, -201, {'epochs': 2, 'units1': 10, 'act1': 'linear', 'units2': 26, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 3, 'units1': 8, 'act1': 'selu', 'units2': 20, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
Generation: 3
1, 200, 111, {'epochs': 1, 'units1': 12, 'act1': 'elu', 'units2': 32, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 14, 'units1': 10, 'act1': 'tanh', 'units2': 38, 'act2': 'selu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 20, -196, {'epochs': 2, 'units1': 12, 'act1': 'relu', 'units2': 22, 'act2': 'relu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 18, -221, {'epochs': 4, 'units1': 9, 'act1': 'tanh', 'units2': 4, 'act2': 'softmax', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 20, -193, {'epochs': 7, 'units1': 9, 'act1': 'selu', 'units2': 15, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 10, 'units1': 9, 'act1': 'softmax', 'units2': 26, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
Generation: 4
1, 200, 99, {'epochs': 1, 'units1': 12, 'act1': 'elu', 'units2': 32, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
2, 17, -105, {'epochs': 1, 'units1': 12, 'act1': 'selu', 'units2': 32, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 19, -195, {'epochs': 1, 'units1': 12, 'act1': 'selu', 'units2': 32, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
