Generation: 5
1, 200, -66904, {'epochs': 168, 'units1': 253, 'act1': 'relu', 'units2': 29, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 248, 'units1': 125, 'act1': 'tanh', 'units2': 192, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -66904, {'epochs': 229, 'units1': 208, 'act1': 'selu', 'units2': 126, 'act2': 'relu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, -66901, {'epochs': 75, 'units1': 113, 'act1': 'linear', 'units2': 131, 'act2': 'relu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 56, 'units1': 253, 'act1': 'selu', 'units2': 109, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 29, -202, {'epochs': 235, 'units1': 180, 'act1': 'relu', 'units2': 13, 'act2': 'linear', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 14, -200, {'epochs': 105, 'units1': 30, 'act1': 'elu', 'units2': 79, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 9, -207, {'epochs': 166, 'units1': 274, 'act1': 'elu', 'units2': 33, 'act2': 'relu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 20, -211, {'epochs': 6, 'units1': 221, 'act1': 'tanh', 'units2': 166, 'act2': 'elu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 10, -201, {'epochs': 49, 'units1': 213, 'act1': 'elu', 'units2': 126, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
2, 242, 607, {'epochs': 234, 'units1': 30, 'act1': 'tanh', 'units2': 40, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
2, 35, 343, {'epochs': 118, 'units1': 56, 'act1': 'tanh', 'units2': 205, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 10, -210, {'epochs': 161, 'units1': 249, 'act1': 'relu', 'units2': 22, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 21, -197, {'epochs': 121, 'units1': 44, 'act1': 'selu', 'units2': 197, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, -60910, {'epochs': 218, 'units1': 64, 'act1': 'elu', 'units2': 164, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
