Generation: 1
1, 200, 99, {'epochs': 6, 'units1': 6, 'act1': 'selu', 'units2': 30, 'act2': 'softmax', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, 96, {'epochs': 8, 'units1': 12, 'act1': 'sigmoid', 'units2': 45, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 7, 'units1': 12, 'act1': 'elu', 'units2': 32, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, 96, {'epochs': 11, 'units1': 12, 'act1': 'softmax', 'units2': 22, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 9, -200, {'epochs': 12, 'units1': 3, 'act1': 'selu', 'units2': 38, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, 96, {'epochs': 9, 'units1': 8, 'act1': 'sigmoid', 'units2': 35, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 58, -180, {'epochs': 12, 'units1': 8, 'act1': 'tanh', 'units2': 33, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -188, {'epochs': 6, 'units1': 7, 'act1': 'elu', 'units2': 30, 'act2': 'sigmoid', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 96, {'epochs': 14, 'units1': 5, 'act1': 'relu', 'units2': 30, 'act2': 'sigmoid', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, 96, {'epochs': 7, 'units1': 5, 'act1': 'softmax', 'units2': 20, 'act2': 'tanh', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
