Generation: 7
1, 200, -571, {'epochs': 171, 'units1': 18, 'act1': 'selu', 'units2': 107, 'act2': 'tanh', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 17, -191, {'epochs': 183, 'units1': 121, 'act1': 'tanh', 'units2': 204, 'act2': 'selu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
4, 265, 973, {'epochs': 33, 'units1': 195, 'act1': 'linear', 'units2': 54, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 111, 'units1': 13, 'act1': 'tanh', 'units2': 130, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -191, {'epochs': 80, 'units1': 233, 'act1': 'selu', 'units2': 84, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 11, -184, {'epochs': 131, 'units1': 205, 'act1': 'linear', 'units2': 141, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, 107, {'epochs': 254, 'units1': 42, 'act1': 'linear', 'units2': 87, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 77, -175, {'epochs': 16, 'units1': 33, 'act1': 'tanh', 'units2': 2, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
2, 9, 302, {'epochs': 6, 'units1': 228, 'act1': 'tanh', 'units2': 91, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
9, 85, 3872, {'epochs': 121, 'units1': 161, 'act1': 'relu', 'units2': 31, 'act2': 'elu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 9, -185, {'epochs': 127, 'units1': 174, 'act1': 'relu', 'units2': 28, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 12, -209, {'epochs': 22, 'units1': 52, 'act1': 'tanh', 'units2': 59, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, -571, {'epochs': 169, 'units1': 22, 'act1': 'selu', 'units2': 96, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 14, -196, {'epochs': 95, 'units1': 225, 'act1': 'selu', 'units2': 86, 'act2': 'tanh', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 132, 'units1': 55, 'act1': 'tanh', 'units2': 173, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, 107, {'epochs': 230, 'units1': 249, 'act1': 'tanh', 'units2': 123, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 200, 107, {'epochs': 165, 'units1': 19, 'act1': 'tanh', 'units2': 107, 'act2': 'selu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, 107, {'epochs': 216, 'units1': 201, 'act1': 'linear', 'units2': 200, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, 87, {'epochs': 214, 'units1': 105, 'act1': 'elu', 'units2': 123, 'act2': 'linear', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 31, -195, {'epochs': 197, 'units1': 161, 'act1': 'selu', 'units2': 212, 'act2': 'selu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 201, 'units1': 183, 'act1': 'relu', 'units2': 182, 'act2': 'tanh', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 9, -198, {'epochs': 47, 'units1': 150, 'act1': 'selu', 'units2': 145, 'act2': 'tanh', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
5, 51, 1861, {'epochs': 97, 'units1': 11, 'act1': 'tanh', 'units2': 130, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 33, 'units1': 211, 'act1': 'linear', 'units2': 134, 'act2': 'elu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 17, -196, {'epochs': 192, 'units1': 161, 'act1': 'selu', 'units2': 210, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 110, {'epochs': 166, 'units1': 25, 'act1': 'tanh', 'units2': 107, 'act2': 'selu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, -558, {'epochs': 99, 'units1': 8, 'act1': 'tanh', 'units2': 143, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 97, 'units1': 19, 'act1': 'selu', 'units2': 198, 'act2': 'relu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 114, {'epochs': 32, 'units1': 169, 'act1': 'linear', 'units2': 164, 'act2': 'elu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 18, -194, {'epochs': 140, 'units1': 197, 'act1': 'linear', 'units2': 140, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 21, -194, {'epochs': 224, 'units1': 60, 'act1': 'relu', 'units2': 95, 'act2': 'elu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, -574, {'epochs': 219, 'units1': 107, 'act1': 'elu', 'units2': 117, 'act2': 'linear', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
4, 243, 960, {'epochs': 86, 'units1': 235, 'act1': 'tanh', 'units2': 89, 'act2': 'selu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -481, {'epochs': 107, 'units1': 11, 'act1': 'tanh', 'units2': 133, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, -574, {'epochs': 227, 'units1': 168, 'act1': 'linear', 'units2': 63, 'act2': 'relu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 17, -196, {'epochs': 80, 'units1': 233, 'act1': 'selu', 'units2': 84, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 9, -185, {'epochs': 188, 'units1': 181, 'act1': 'linear', 'units2': 124, 'act2': 'elu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -507, {'epochs': 40, 'units1': 166, 'act1': 'linear', 'units2': 174, 'act2': 'elu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 9, 'units1': 161, 'act1': 'elu', 'units2': 191, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -561, {'epochs': 9, 'units1': 161, 'act1': 'elu', 'units2': 191, 'act2': 'tanh', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, -574, {'epochs': 239, 'units1': 58, 'act1': 'relu', 'units2': 82, 'act2': 'elu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 113, {'epochs': 171, 'units1': 155, 'act1': 'relu', 'units2': 85, 'act2': 'linear', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
