Generation: 14
2, 19, 318, {'epochs': 249, 'units1': 196, 'act1': 'linear', 'units2': 102, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 10, -213, {'epochs': 57, 'units1': 220, 'act1': 'elu', 'units2': 117, 'act2': 'elu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
4, 58, -672, {'epochs': 293, 'units1': 194, 'act1': 'elu', 'units2': 130, 'act2': 'elu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 10, -181, {'epochs': 1, 'units1': 9, 'act1': 'elu', 'units2': 54, 'act2': 'linear', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
2, 54, 332, {'epochs': 140, 'units1': 112, 'act1': 'selu', 'units2': 5, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 24, -194, {'epochs': 137, 'units1': 140, 'act1': 'selu', 'units2': 133, 'act2': 'linear', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 123, 'units1': 35, 'act1': 'selu', 'units2': 107, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -64898, {'epochs': 56, 'units1': 223, 'act1': 'elu', 'units2': 117, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -66901, {'epochs': 222, 'units1': 155, 'act1': 'elu', 'units2': 81, 'act2': 'elu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 197, 'units1': 93, 'act1': 'elu', 'units2': 6, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
2, 30, 305, {'epochs': 50, 'units1': 162, 'act1': 'tanh', 'units2': 185, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
5, 77, 848, {'epochs': 5, 'units1': 173, 'act1': 'linear', 'units2': 22, 'act2': 'elu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 19, -195, {'epochs': 9, 'units1': 172, 'act1': 'elu', 'units2': 21, 'act2': 'linear', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
