Generation: 1
1, 10, -213, {'epochs': 254, 'units1': 48, 'act1': 'selu', 'units2': 57, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, -571, {'epochs': 235, 'units1': 39, 'act1': 'softmax', 'units2': 233, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 17, 'units1': 20, 'act1': 'sigmoid', 'units2': 141, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
5, 27, 1833, {'epochs': 192, 'units1': 177, 'act1': 'elu', 'units2': 66, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -574, {'epochs': 64, 'units1': 101, 'act1': 'sigmoid', 'units2': 244, 'act2': 'tanh', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 249, 'units1': 196, 'act1': 'elu', 'units2': 2, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 9, -185, {'epochs': 1, 'units1': 200, 'act1': 'linear', 'units2': 97, 'act2': 'softmax', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 34, -195, {'epochs': 155, 'units1': 160, 'act1': 'selu', 'units2': 35, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -574, {'epochs': 87, 'units1': 44, 'act1': 'sigmoid', 'units2': 4, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, 116, {'epochs': 16, 'units1': 50, 'act1': 'selu', 'units2': 59, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 55, 'units1': 141, 'act1': 'tanh', 'units2': 26, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 19, -222, {'epochs': 170, 'units1': 9, 'act1': 'selu', 'units2': 46, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
