Generation: 5
1, 9, -212, {'epochs': 28, 'units1': 155, 'act1': 'relu', 'units2': 114, 'act2': 'elu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
3, 21, 822, {'epochs': 12, 'units1': 187, 'act1': 'selu', 'units2': 50, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 9, -209, {'epochs': 202, 'units1': 138, 'act1': 'elu', 'units2': 31, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 76, -157, {'epochs': 202, 'units1': 140, 'act1': 'elu', 'units2': 19, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
7, 134, 877, {'epochs': 220, 'units1': 203, 'act1': 'selu', 'units2': 114, 'act2': 'linear', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 15, -206, {'epochs': 114, 'units1': 69, 'act1': 'selu', 'units2': 188, 'act2': 'linear', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
12, 195, 4421, {'epochs': 203, 'units1': 139, 'act1': 'elu', 'units2': 26, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 11, -211, {'epochs': 250, 'units1': 188, 'act1': 'tanh', 'units2': 227, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -194, {'epochs': 3, 'units1': 181, 'act1': 'selu', 'units2': 50, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -58928, {'epochs': 203, 'units1': 139, 'act1': 'elu', 'units2': 26, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, -60904, {'epochs': 223, 'units1': 45, 'act1': 'linear', 'units2': 1, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 113, {'epochs': 220, 'units1': 203, 'act1': 'linear', 'units2': 114, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 21, -194, {'epochs': 204, 'units1': 139, 'act1': 'elu', 'units2': 18, 'act2': 'selu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 10, -213, {'epochs': 203, 'units1': 139, 'act1': 'elu', 'units2': 26, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 10, -210, {'epochs': 220, 'units1': 43, 'act1': 'linear', 'units2': 2, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -188, {'epochs': 10, 'units1': 188, 'act1': 'selu', 'units2': 51, 'act2': 'tanh', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -66904, {'epochs': 90, 'units1': 138, 'act1': 'elu', 'units2': 239, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
