Generation: 4
1, 9, -212, {'epochs': 143, 'units1': 35, 'act1': 'linear', 'units2': 253, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -66904, {'epochs': 57, 'units1': 222, 'act1': 'elu', 'units2': 127, 'act2': 'elu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -188, {'epochs': 97, 'units1': 5, 'act1': 'linear', 'units2': 190, 'act2': 'selu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 28, -195, {'epochs': 142, 'units1': 115, 'act1': 'elu', 'units2': 5, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 116, {'epochs': 139, 'units1': 128, 'act1': 'linear', 'units2': 136, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 19, -195, {'epochs': 57, 'units1': 172, 'act1': 'relu', 'units2': 181, 'act2': 'tanh', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 82, 'units1': 271, 'act1': 'elu', 'units2': 215, 'act2': 'tanh', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 31, -186, {'epochs': 57, 'units1': 242, 'act1': 'selu', 'units2': 102, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
2, 17, 314, {'epochs': 107, 'units1': 52, 'act1': 'elu', 'units2': 173, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 62, 'units1': 179, 'act1': 'elu', 'units2': 53, 'act2': 'selu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 21, -194, {'epochs': 201, 'units1': 236, 'act1': 'elu', 'units2': 101, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 122, 'units1': 29, 'act1': 'elu', 'units2': 60, 'act2': 'elu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 59, 'units1': 147, 'act1': 'linear', 'units2': 11, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 12, -182, {'epochs': 165, 'units1': 255, 'act1': 'elu', 'units2': 213, 'act2': 'elu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 90, {'epochs': 101, 'units1': 52, 'act1': 'elu', 'units2': 167, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -66904, {'epochs': 57, 'units1': 46, 'act1': 'elu', 'units2': 95, 'act2': 'softmax', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 10, 'units1': 221, 'act1': 'tanh', 'units2': 172, 'act2': 'elu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
2, 20, 313, {'epochs': 197, 'units1': 228, 'act1': 'elu', 'units2': 103, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, -66649, {'epochs': 112, 'units1': 34, 'act1': 'selu', 'units2': 203, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 10, -205, {'epochs': 90, 'units1': 64, 'act1': 'linear', 'units2': 148, 'act2': 'relu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
